Transect 2.4   Atwell Gulch_108,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
2582,185.14,19,2.4,0.1,6.63,,,,,,"tag 14cm S, ",,,,,,,,,185.14,0,0
528,377,19,2.4,0.45,10.7,0,0,0,0,,tag 8 cm SW,,,,,,,,,377,0,0
529,351,19,2.4,0.48,12.4,6.7,6.7,6.7,6.9,,"tag 10cm N, ",,,,,,,,,351,0,0
2061,1229,19,2.4,0.99,13.5,0,0,0,0,,tag 14 cm SW,,,,,,,,,1229,0,0
3780,1229.01,19,2.4,0.99,13.5,1,0.8,0,0,,tag 14 cm SW,,,,,,,,,1229.01,,
3900,1229.02,19,2.4,0.99,13.5,,,1.4,2.5,,tag is 26 cm SE,,,,,,,,,1229.02,,
3901,1229.03,19,2.4,0.99,13.5,,,4,6,,tag is 66 cm N,,,,,,,,,1229.03,,
3902,1229.04,19,2.4,0.99,13.5,,,2.3,1.1,,tag is 47 cm NE,"Cactus is on tape-line, under a rock.",,,,,,,,1229.04,,
453,268,19,2.4,0.9,19.75,0,0,0,0,,tag 10 cm SW,,,,,,,,,268,0,0
2960,268.01,19,2.4,0.9,19.75,0,0,0,0,,tag 7.5 cm S,,,,,,,,,268.01,,
3638,268.02,19,2.4,0.9,19.75,1.5,1,0,0,,tag 14 cm SSW,dead,,,,,,,,268.02,,
NEW,,19,2.4,,,,,,,,,,,,,,,,,,,
NEW,,19,2.4,,,,,,,,,,,,,,,,,,,
NEW,,19,2.4,,,,,,,,,,,,,,,,,,,
NEW,,19,2.4,,,,,,,,,,,,,,,,,,,
NEW,,19,2.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 4   Atwell Gulch_108,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
442,241,20,4,0.22,12.5,7.1,8.5,3.2,6.8,,tag 20 cm E,Dead?,,,,,,,,241,0,0
3639,241.01,20,4,0.22,12.5,2.5,1.9,1.7,1.9,,tag 24cm E,,,,,,,,,241.01,,
443,238,20,4,0.71,12.93,0,0,0,0,,,,,,,,,,,238,0,0
472,238.01,20,4,0.71,12.93,0,0,0,0,,"1o'c, ",,,,,,,,,238.01,0,0
473,238.02,20,4,0.71,12.93,0,0,0,0,,"9o'c, tag 16 cm N",,,,,,,,,238.02,0,0
493,238.03,20,4,0.71,12.93,0,0,0,0,,tag 16cm SW,,,,,,,,,238.03,0,0
474,238.04,20,4,0.71,12.93,0,0,0,0,,"9:30o'c, ",,,,,,,,,238.04,0,0
3266,238.05,20,4,0.71,12.93,0,0,0,0,,,,,,,,,,,238.05,,
444,279,20,4,0.89,12.93,0,0,0,0,,tag 17 cm N,,,,,,,,,279,0,0
2583,443,20,4,0.27,13.6,0,0,0,0,,tag 12 cm S,,,,,,,,,443,0,0
2961,443.01,20,4,0.27,13.6,0,0,0,0,,tag 83 cm SE,,,,,,,,,443.01,,
445,266,20,4,0.9,13.77,3,5.7,3.1,5,,"tag 10cm S of plant, tag 13 cm N",pale,,,,,,,,266,0,0
3903,266.01,20,4,0.9,13.77,,,1.9,2.4,,Tag N Cactus 14 cm E of primary,,,,,,,,,266.01,0,0
3904,266.02,20,4,0.9,13.77,,,2.4,2.3,,tag is 11 cm S,,,,,,,,,266.02,0,0
3905,266.03,20,4,0.9,13.77,,,2.7,2.1,,tag is 12 cm S cactus is most W from primary,,,,,,,,,266.03,0,0
NEW,,20,4,,,,,,,,,,,,,,,,,,,
NEW,,20,4,,,,,,,,,,,,,,,,,,,
NEW,,20,4,,,,,,,,,,,,,,,,,,,
NEW,,20,4,,,,,,,,,,,,,,,,,,,
NEW,,20,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 9.5   Atwell Gulch_108,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
2062,1235,18,9.5,0.8,7.6,3.2,4.5,3.4,5,,17.5 cm N of tag in prickly pear,,,,,,,,,1235,0,0
530,341,18,9.5,1,7.8,0,0,0,0,,12 cm N of tag,,,,,,,,,341,0,0
531,359,18,9.5,0.91,8.1,8.9,8,10.1,8.6,,16 cm NE of tag,,,,,,,,,359,0,0
532,359.01,18,9.5,0.91,8.1,0,0,0,0,,"7:00:00 AM, 8 o'c, 18 cm NE of tag",,,,,,,,,359.01,0,0
533,368,18,9.5,1.01,9,0,0,0,0,,12 cm N of tag,,,,,,,,,368,0,0
2962,368.01,18,9.5,1.01,9,0,0,0,0,,8 cm N of tag,,,,,,,,,368.01,,
3907,368.02,18,9.5,1.01,9,,,1,0.8,,tag is 4.5 cm S,,,,,,,,,368.02,,
3908,368.03,18,9.5,1.01,9,,,0.9,0.6,,TAG IS 5 CM s,,,,,,,,,368.03,,
3909,368.04,18,9.5,1.01,9,,,0.9,0.7,,tag is 8.5 cm S,,,,,,,,,368.04,,
3910,368.05,18,9.5,1.01,9,,,1.2,0.8,,tag is 9 cm S,,,,,,,,,368.05,,
3911,368.06,18,9.5,1.01,9,,,0.9,0.6,,tag is 9.5 cm S,,,,,,,,,368.06,,
3912,368.07,18,9.5,1.01,9,,,1.2,0.6,,tag is 10 cm S,,,,,,,,,368.07,,
3913,368.08,18,9.5,1.01,9,,,1.4,0.9,,tag is 11 cm S,,,,,,,,,368.08,,
3914,368.09,18,9.5,1.01,9,,,1.1,0.7,,tag is 12.5 cm S,,,,,,,,,368.09,,
3915,368.1,18,9.5,1.01,9,,,1.2,0.8,,tag is 15 cm S,,,,,,,,,368.1,,
2063,1208,18,9.5,0.9,9.6,0,0,0,0,,"22cm to tag, 25 cm NW of tag",,,,,,,,,1208,0,0
534,376,18,9.5,0.68,9.8,6,5.5,2.7,5.9,,"8"" east of nail between rocks, 20cm NE of tag",sick,,,,,,,,376,0,0
3267,112,18,9.5,0.92,11.3,0,0,0,0,,,,,,,,,,,112,,
535,692,18,9.5,0.46,11.8,0,0,0,0,,,,,,,,,,,692,0,0
2585,439,18,9.5,0.94,12.05,0,0,0,0,,"2o'c tag 6cm ?E?, parent out, 10 cm SW ; 17 cm W of tag",,,,,,,,,439,0,0
2963,439.01,18,9.5,0.94,12.05,2.8,3.4,1.6,3.6,,11 cm S of tag ; 7 cm S of tag,very pale,,,,,,,,439.01,,
3268,439.02,18,9.5,0.94,12.05,0,0,0,0,,10 cm W of tag,,,,,,,,,439.02,,
536,693,18,9.5,0.27,12.2,4.2,6.3,0,0,2,15 cm N of tag,parent gone but 2 minis,,,,,,,,693,0,0
537,694,18,9.5,0.07,26.9,0,0,0,0,,"tag 15 cm S, baby in place of dead, tag 18 cm N of tag",,,,,,,,,694,0,0
3431,694.01,18,9.5,0.07,26.9,2.6,4,2.6,3.7,,tag is 18 cm SSW of plant,hallowed center,,,,,,,,694.01,,
2964,694.02,18,9.5,0.07,26.9,7,8.4,0,0,,25 cm N of tag,plant not found,,,,,,,,694.02,,
3781,694.03,18,9.5,0.07,26.9,1.4,0.7,1.1,0.7,,28.5 cm N of tag,,,,,,,,,694.03,,
3916,694.04,18,9.5,0.07,26.9,,,1.4,0.5,,tag is 28.5 cm S,,,,,,,,,694.04,,
2064,9999,18,9.5,0.07,26.9,,,,,,"tag 25cm S, Now under 694.01",,,,,,,,,9999,0,0
538,688,18,9.5,0.88,34.4,7.7,7.6,9,8.1,,"tag 13cm SW, 14 NE of tag",,,,,,,,,688,0,0
2965,44,18,9.5,0.25,34.5,2.7,4.8,3,5,,13 cm NNW of tag; 13 cm E of tag,pale,,,,,,,,44,,
2966,44.01,18,9.5,0.25,34.5,3.2,2.1,0,0,,18 cm NW of tag,dead,,,,,,,,44.01,,
3906,44.02,18,9.5,0.25,34.5,,,2.4,1.7,,tag is 12.5 cm W,growth off of 44,,,,,,,,44.02,,
539,690,18,9.5,0.63,37.3,4.9,5.1,4.3,5.4,,"tag 13cm S, 14 N of tag",,,,,,,,,690,0,0
2584,690.01,18,9.5,0.63,37.3,2.3,2.2,2.5,3.1,,"7o'c from primary, 18 N of tag",,,,,,,,,690.01,0,0
NEW,,18,9.5,,,,,,,,,,,,,,,,,,,
NEW,,18,9.5,,,,,,,,,,,,,,,,,,,
NEW,,18,9.5,,,,,,,,,,,,,,,,,,,
NEW,,18,9.5,,,,,,,,,,,,,,,,,,,
NEW,,18,9.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 11   Atwell Gulch_108,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
426,189,17,11,0.41,2.22,,,,,,"tag 13cm SW, ",,,,,,,,,189,0,0
427,190,17,11,0.59,2.58,,,,,,"Rest are from tag to plant clockwise, tag 17cm SW, ",,,,,,,,,190,0,0
462,190.01,17,11,0.59,2.58,,,,,,5o'c,,,,,,,,,190.01,0,0
463,190.02,17,11,0.59,2.58,3.3,5.5,3.5,6.1,,"6o'c, tag 25cm SW, ",,,,,,,,,190.02,0,0
464,190.03,17,11,0.59,2.58,2.3,3.5,2.4,4.5,,"8 o'c, tag 22cm SW, ",,,,,,,,,190.03,0,0
465,190.04,17,11,0.59,2.58,,,,,,"11o'c, tag 12cm SW, ",,,,,,,,,190.04,0,0
505,190.05,17,11,0.59,2.58,,,,,,"6o'c, tag 25cm SW",,,,,,,,,190.05,0,0
506,190.06,17,11,0.59,2.58,0,0,0,0,,"2/3'c, tag 21cm SW",,,,,,,,,190.06,0,0
428,192,17,11,0.42,7.58,2.2,3.7,2.6,4.1,,"(at 7.25 meters), tag 10 cm S",,,,,,,,,192,0,0
429,167,17,11,0.25,7.91,7.4,6.6,0,0,12,"tag 10cm SW, ",dead with 12 minis growing out of dead parent,,,,,,,,167,0,0
3269,167.01,17,11,0.25,7.91,1.7,2.5,2.2,2.8,,smaller one; 7 cm ESE from tag,,,,,,,,,167.01,,
461,332,17,11,0,7.96,6,8.2,0,0,14,"tag 11cm SE, ",dead with live minis,,,,,,,,332,0,0
2373,332.01,17,11,0,7.96,0,0,0,0,,"6o'c, tag 23cm SE, ",,,,,,,,,332.01,0,0
3270,332.02,17,11,0,7.96,3.2,3,0,0,,tag 5 cm SSW,dead,,,,,,,,332.02,,
430,191,17,11,0.19,8.19,8.2,7.4,9.5,8.9,,"tag 13cm SW, ",,,,,,,,,191,0,0
507,191.01,17,11,0.19,8.19,,,,,,"1o'c, gone",,,,,,,,,191.01,0,0
2066,989,17,11,0.15,9.35,3,6.4,0,0,,~8 cm E of tag ; tag 10 cm S,,,,,,,,,989,0,0
431,260,17,11,0.07,9.5,,,0,0,,"10'c, dead",dead,,,,,,,,260,0,0
432,260.01,17,11,0.07,9.5,,,0,0,,"tag 15 cm, clockwise from tag 3o'c, ",dead,,,,,,,,260.01,0,0
433,260.02,17,11,0.07,9.5,,,0,0,,"4o'c, tag 21.5cm SW, ",dead,,,,,,,,260.02,0,0
434,260.03,17,11,0.07,9.5,,,0,0,,"adjacent to .02 .03, tag 19cm SW, ",dead,,,,,,,,260.03,0,0
435,260.04,17,11,0.07,9.5,,,0,0,,"6/7 o'c, tag 23cm SW, ",dead,,,,,,,,260.04,0,0
459,260.05,17,11,0.07,9.5,,,0,0,,7:00,dead,,,,,,,,260.05,0,0
460,260.06,17,11,0.07,9.5,,,0,0,,,dead,,,,,,,,260.06,0,0
436,184,17,11,0.33,10.69,11.1,9.6,0,0,,"tag 16cm SW, ",dead,,,,,,,,184,0,0
2372,184.01,17,11,0.33,10.69,3.5,4.6,4.7,6.1,,"12o'c, tag 10cm SW, ",,,,,,,,,184.01,0,0
468,200,17,11,0.14,12.1,,,,,,"5o'c to 8o'c, tag 14cm SW",,,,,,,,,200,0,0
494,200.01,17,11,0.14,12.1,,,,,,from 5 o'clock to 8 o'clock,,,,,,,,,200.01,0,0
495,200.02,17,11,0.14,12.1,,,,,,,,,,,,,,,200.02,0,0
496,200.03,17,11,0.14,12.1,,,,,,tag 21cm SW,,,,,,,,,200.03,0,0
497,200.04,17,11,0.14,12.1,,,,,,tag 21cm SW,,,,,,,,,200.04,0,0
498,200.05,17,11,0.14,12.1,,,,,,,,,,,,,,,200.05,0,0
499,200.06,17,11,0.14,12.1,,,,,,,,,,,,,,,200.06,0,0
500,200.07,17,11,0.14,12.1,,,,,,,,,,,,,,,200.07,0,0
501,200.08,17,11,0.14,12.1,,,,,,,,,,,,,,,200.08,0,0
502,200.09,17,11,0.14,12.1,,,,,,,,,,,,,,,200.09,0,0
503,200.1,17,11,0.14,12.1,,,,,,,,,,,,,,,200.1,0,0
437,180,17,11,0.81,12.5,0,0,0,0,,tag 12cm SW,,,,,,,,,180,0,0
3641,180.01,17,11,0.81,12.5,1.3,1.5,0,0,,tag 5cm W,,,,,,,,,180.01,,
3642,180.02,17,11,0.81,12.5,1.1,1.2,0,0,,tag 9 cm SW,,,,,,,,,180.02,,
438,173,17,11,0.55,12.7,,,,,,,,,,,,,,,173,0,0
508,173.01,17,11,0.55,12.7,,,,,,"1o'c, tag 12cm SW, ",,,,,,,,,173.01,0,0
509,173.02,17,11,0.55,12.7,,,,,,"1o'c, tag 11cm SW, ",,,,,,,,,173.02,0,0
510,173.03,17,11,0.55,12.7,,,,,,"1o'c, tag 12.5cm SW, ",,,,,,,,,173.03,0,0
511,173.04,17,11,0.55,12.7,0,0,0,0,,"12o'c, ",,,,,,,,,173.04,0,0
512,173.05,17,11,0.55,12.7,2.4,4.6,3.1,5,,"8o'c, SW of tag ; tag 12 cm NE",,,,,,,,,173.05,0,0
3782,173.06,17,11,0.55,12.7,1.5,3.2,0,0,,tag 15 cm S,dead,,,,,,,,173.06,,
2067,173.6,17,11,0.55,12.7,,,,,,"tag 16cm SW, ",,,,,,,,,173.6,0,0
439,280,17,11,0.9,12.86,,,,,,"tag 15cm SW, ",,,,,,,,,280,0,0
466,280.01,17,11,1,12.86,,,,,,5 o'clock,,,,,,,,,280.01,0,0
467,280.02,17,11,0.9,12.86,2.5,5,3.9,6.6,,"tag 30cm S, ",,,,,,,,,280.02,0,0
513,280.03,17,11,0.9,12.86,0,0,0,0,,"9o'c, tag 16cm S, ",,,,,,,,,280.03,0,0
514,280.04,17,11,0.9,12.86,,,,,,"11o'c, ",,,,,,,,,280.04,0,0
515,280.05,17,11,0.9,12.86,,,,,,"12o'c, ",,,,,,,,,280.05,0,0
2380,280.06,17,11,0.9,12.86,,,,,,"7o'c, ",,,,,,,,,280.06,0,0
2816,280.07,17,11,0.9,12.86,,,,,,2 o'clock,,,,,,,,,280.07,0,0
3640,280.08,17,11,0.9,12.86,0,0,0,0,,tag 16cm SW,,,,,,,,,280.08,,
441,243,17,11,0.6,13.75,,,1,0.6,2,13cm SW ,,,,,,,,,243,0,0
2586,243.01,17,11,0.6,13.75,2.1,2,1.6,2.6,,tag 11cm SW,,,,,,,,,243.01,0,0
3917,243.02,17,11,0.6,13.75,,,1.5,0.1,,tag is 16.5 cm S,,,,,,,,,243.02,,
440,248,17,11,0.81,13.92,1.7,3.7,2,3.9,,11cm from pin ; tag 11 cm N,not healthy,,,,,,,,248,0,0
2587,248.01,17,11,0.81,13.92,,,,,,"tag 8cm SW, ",,,,,,,,,248.01,0,0
2596,450,17,11,0.58,32.4,3.9,5.6,4.5,5.7,,"tag 10cm SSE, ",,,,,,,,,450,0,0
2068,1210,17,11,0.38,33,,,,,,by a former dead one,,,,,,,,,1210,0,0
2070,1210.01,17,11,0.38,33,,,,,,3 o'c,,,,,,,,,1210.01,0,0
2071,1210.02,17,11,0.38,33,,,,,,"5 o'c,tag 8cm SSE",,,,,,,,,1210.02,0,0
2592,1210.03,17,11,0.38,33,,,,,,"tag 7cm SW, ",,,,,,,,,1210.03,0,0
2593,1210.04,17,11,0.38,33,2.2,3.5,0,0,,"7 o'c, tag 12cm SW, ",dead,,,,,,,,1210.04,0,0
2817,1210.05,17,11,0.38,33,0,0,0,0,,"11cm from tag, SW",,,,,,,,,1210.05,0,0
3432,1210.06,17,11,0.38,33,1.3,1.7,1.6,2.4,,"10 cm S, 12 S",,,,,,,,,1210.06,,
3433,1210.07,17,11,0.38,33,1.5,2.5,2.4,3.5,,8 cm S next to 1210.08,,,,,,,,,1210.07,,
3435,1210.08,17,11,0.38,33,1.4,1.5,1.9,2,,7 cm S,,,,,,,,,1210.08,,
3643,1210.09,17,11,0.38,33,1.1,1.1,1.2,1.2,,tag 13cm SE,,,,,,,,,1210.09,,
3644,1210.1,17,11,0.38,33,1.7,3.5,0,0,,tag 13cm,not found,,,,,,,,1210.1,,
3434,1210.11,17,11,0.38,33,1.3,1.8,1.5,2.7,,8 cm S next to 1210.07,,,,,,,,,1210.11,,
550,671,17,11,0.3,33.4,,,0,0,,"2 @ noon, 1 at noon, 1 at 6 o'clock",not found,,,,,,,,671,0,0
2072,671.01,17,11,0.3,33.4,0,0,0,0,,"12 o'c, Tag 12cm SW",not found,,,,,,,,671.01,0,0
2073,671.02,17,11,0.3,33.4,0,0,0,0,,"3 o'c, 20cm from tag",dead,,,,,,,,671.02,0,0
2374,671.03,17,11,0.3,33.4,0,0,0,0,,"3 o'c, tag 18cm SE",not found,,,,,,,,671.03,0,0
2375,671.04,17,11,0.3,33.4,0,0,0,0,,"7pm, tag 21cm SW",,,,,,,,,671.04,0,0
2376,671.05,17,11,0.3,33.4,0,0,0,0,,11 o'c,,,,,,,,,671.05,0,0
2377,671.06,17,11,0.3,33.4,0,0,0,0,,"11 o'c, tag 13.5cm SW",,,,,,,,,671.06,0,0
2378,671.07,17,11,0.3,33.4,,,,,,"noon (no), tag 12cm SW",,,,,,,,,671.07,0,0
2379,671.08,17,11,0.3,33.4,,,,,,"noon (no), tag 13cm SW",,,,,,,,,671.08,0,0
2594,671.09,17,11,0.3,33.4,,,,,,tag 13.5cm SW,,,,,,,,,671.09,0,0
2595,671.1,17,11,0.3,33.4,0,0,0,0,,"tag 13.5cm SW, 12",,,,,,,,,671.1,0,0
554,664,17,11,0.42,33.7,0,0,0,0,,tag 13cm SW,dead,,,,,,,,664,0,0
2069,664.01,17,11,0.42,33.7,0,0,0,0,,"8 o'c, tag 18cm SSW",,,,,,,,,664.01,0,0
2590,664.02,17,11,0.42,33.7,0,0,0,0,,tag 9cm SSW,,,,,,,,,664.02,0,0
2591,664.03,17,11,0.42,33.7,0,0,0,0,,tag 23cm SW,,,,,,,,,664.03,0,0
549,655,17,11,0.65,33.8,,,,,,,,,,,,,,,655,0,0
2074,655.01,17,11,0.65,33.8,,,,,,9:30 from tag,,,,,,,,,655.01,0,0
2589,655.02,17,11,0.65,33.8,,,,,,tag 17cm ~ESE,,,,,,,,,655.02,0,0
551,675,17,11,0.21,33.8,,,0,0,,Biggest next to nail,dead,,,,,,,,675,0,0
552,675.01,17,11,0.21,33.8,,,,,,to the north,,,,,,,,,675.01,0,0
553,675.02,17,11,0.21,33.8,,,,,,to the north,,,,,,,,,675.02,0,0
2818,675.03,17,11,0.21,33.8,,,,,,17.5cm,,,,,,,,,675.03,0,0
2819,675.04,17,11,0.21,33.8,3.9,5.3,0,0,,48.5cm from nail ; tag SW,dead,,,,,,,,675.04,0,0
3439,675.05,17,11,0.21,33.8,3.1,3.8,2.8,3.9,,"tag 62 cm N, middle of prickly pear",,,,,,,,,675.05,,
548,672,17,11,0.81,34.1,,,,,,tag 22cm,,,,,,,,,672,0,0
2384,672.01,17,11,0.81,34.1,2.9,3.7,2.5,4.7,,"10 o'c, tag 10 cm SW",,,,,,,,,672.01,0,0
547,662,17,11,0.6,35.1,,,,,,,,,,,,,,,662,0,0
2075,662.01,17,11,0.6,35.1,,,,,,"9 o'c, tag 14cm ~SW",,,,,,,,,662.01,0,0
2076,662.02,17,11,0.6,35.1,,,,,,"1 o'c, tag 12cm ~SW",,,,,,,,,662.02,0,0
2381,662.03,17,11,0.6,35.1,,,,,,3 o'c,,,,,,,,,662.03,0,0
2382,662.04,17,11,0.6,35.1,,,,,,tag 21cm ~SW,,,,,,,,,662.04,0,0
2383,662.05,17,11,0.6,35.1,,,,,,tag ~20cm ~SW,,,,,,,,,662.05,0,0
545,659,17,11,0.05,36.4,1.8,1.1,2.4,2.8,,tag 11 W,,,,,,,,,659,0,0
546,659.01,17,11,0.05,36.4,,,,,,9 o'c from 659,,,,,,,,,659.01,0,0
3271,659.02,17,11,0.05,36.4,,,,,,,,,,,,,,,659.02,,
544,665,17,11,0.3,37.2,0,0,0,0,,,,,,,,,,,665,0,0
543,660,17,11,0.5,37.4,,,,,,,,,,,,,,,660,0,0
2597,660.01,17,11,0.5,37.4,,,,,,tag 9cm ~SW,,,,,,,,,660.01,0,0
542,687,17,11,0.65,37.4,,,2.4,2.8,,tag 13 cm S,,,,,,,,,687,0,0
2077,687.01,17,11,0.65,37.4,,,,,,"1 o'c, tag 16 cm S",,,,,,,,,687.01,0,0
3272,687.02,17,11,0.65,37.4,,,,,,"tag 15cm S, 2 o'c",,,,,,,,,687.02,,
3438,687.03,17,11,0.65,37.4,1.9,2.1,2.5,3,,tag 15 cm S,,,,,,,,,687.03,,
541,691,17,11,0.72,38.8,,,1.4,1.3,,,,,,,,,,,691,0,0
540,689,17,11,0.81,40.4,,,,,,no plant? Tag 6 cm SE,,,,,,,,,689,0,0
3436,689.01,17,11,0.81,40.4,2.8,3.8,4.5,4.8,,tag 6 cm SE,,,,,,,,,689.01,,
3437,689.02,17,11,0.81,40.4,0,0,0,0,,tag 50 cm S,,,,,,,,,689.02,,
NEW,,17,11,,,,,,,,,,,,,,,,,,,
NEW,,17,11,,,,,,,,,,,,,,,,,,,
NEW,,17,11,,,,,,,,,,,,,,,,,,,
NEW,,17,11,,,,,,,,,,,,,,,,,,,
NEW,,17,11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transect 12   Atwell Gulch_108,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
559,657,21,12,0.28,4.8,7.1,8.3,0,0,,"tag 10cm SSW, Closest to nail (all surround dead cacti) largest, SSE; ",,,,,,,,,657,0,0
560,657.01,21,12,0.28,4.8,0,0,0,0,,"tag 16cm SSW, next big north, mini 19 cm N of tag, SSE, ants",,,,,,,,,657.01,0,0
561,657.02,21,12,0.28,4.8,0,0,0,0,,"tag 21cm SSW, next north, medium size, SSE",,,,,,,,,657.02,0,0
562,657.03,21,12,0.28,4.8,0,0,0,0,,"tag 18cm SSW, small, west of big, SSE",,,,,,,,,657.03,0,0
563,657.04,21,12,0.28,4.8,0,0,0,0,,"tag 16cm SSW, West of 657.03, SSE",,,,,,,,,657.04,0,0
564,657.05,21,12,0.28,4.8,0,0,0,0,,"mini, close to nail, east of big",,,,,,,,,657.05,0,0
565,657.06,21,12,0.28,4.8,0,0,0,0,,"tag 19cm SSW, furthest east, east of dead big one, ",,,,,,,,,657.06,0,0
557,653,21,12,0.25,5,0,0,0,0,,"tag 13cm S, ants",,,,,,,,,653,0,0
558,649,21,12,0.2,5.05,0,0,0,0,,,,,,,,,,,649,0,0
556,645,21,12,0.78,8.35,6.2,7.3,7.6,7.7,,tag 13cm SW,tag is missing,,,,,,,,645,0,0
555,677,21,12,0.92,10.5,0,0,0,0,,,,,,,,,,,677,0,0
2820,677.01,21,12,0.92,10.5,1.4,3.4,2.8,4.8,,tag 12 S,,,,,,,,,677.01,0,0
2821,677.02,21,12,0.92,10.5,0,0,0,0,,tag 14 S,,,,,,,,,677.02,0,0
594,248,21,12,0,14.2,0,0,0,0,,,,,,,,,,,248,0,0
2822,248.01,21,12,0,14.2,0,0,0,0,,tag 7.5 S,,,,,,,,,248.01,0,0
3783,248.02,21,12,0,14.2,2.2,3.3,2.1,4,,10 cm S of tag,,,,,,,,,248.02,,
599,683,21,12,0.28,14.2,0,0,0,0,,,,,,,,,,,683,0,0
